topic,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
Qubits,What is a qubit?,A unit of classical memory,The basic unit of quantum information,A quantum computer,A type of quantum gate,B,"A qubit, or quantum bit, is the basic unit of quantum information.",Easy
Qubits,What are the two computational basis states of a qubit?,0 and 1,1 and 2,+ and −,True and False,A,The computational basis states are |0⟩ and |1⟩.,Easy
Qubits,What is a major difference between a classical bit and a qubit?,A qubit can only be 0,A qubit can only be 1,A qubit can exist in a combination of basis states,A qubit cannot be measured,C,A qubit can exist in a quantum combination of its basis states.,Easy
Qubits,Which notation represents the state of a qubit?,|q⟩,{q},[q],<q>,A,"Quantum states are commonly represented using Dirac, or ket, notation such as |q⟩.",Easy
Qubits,What happens when a qubit is measured?,It always becomes 0,It always becomes 1,A definite outcome is obtained,It becomes a classical computer,C,Measurement produces a definite classical result.,Easy
Quantum States,What does a quantum state describe?,The physical size of a quantum computer,The state or condition of a quantum system,The speed of a quantum computer,The number of gates in a circuit,B,A quantum state contains the information needed to describe the state of a quantum system.,Easy
Quantum States,Which expression represents a general single-qubit state?,|ψ⟩ = α|0⟩ + β|1⟩,ψ = 0 + 1,|ψ⟩ = α + β,ψ = αβ,A,A general single-qubit state can be written as |ψ⟩ = α|0⟩ + β|1⟩.,Medium
Quantum States,"In |ψ⟩ = α|0⟩ + β|1⟩, what do α and β represent?",Qubits,Quantum gates,Probability amplitudes,Measurements,C,α and β are probability amplitudes. Their squared magnitudes determine measurement probabilities.,Medium
Quantum States,What must the probabilities of measuring 0 and 1 add up to?,0,0.5,1,2,C,The probabilities of all possible measurement outcomes must sum to 1.,Easy
Quantum States,Which of these is a valid single-qubit basis state?,|0⟩,|2⟩,|3⟩,|10⟩,A,|0⟩ and |1⟩ are the two computational basis states of a single qubit.,Easy
Superposition,What is quantum superposition?,A qubit being destroyed,A qubit existing in a combination of quantum states,A qubit becoming permanently 0,Two computers running simultaneously,B,Superposition allows a quantum state to be a combination of basis states.,Easy
Superposition,What happens when a qubit in superposition is measured?,Both states are observed simultaneously,One definite outcome is obtained,The qubit disappears,It always becomes 0,B,Measurement gives a single definite result.,Easy
Superposition,Which gate can create an equal superposition from |0⟩?,X gate,Z gate,Hadamard gate,CNOT gate,C,The Hadamard gate transforms |0⟩ into an equal superposition.,Medium
Superposition,An equal superposition of |0⟩ and |1⟩ has what measurement probabilities?,100% and 0%,75% and 25%,50% and 50%,25% and 75%,C,An equal superposition gives a 50% probability for each outcome.,Easy
Superposition,Which statement about superposition is correct?,It means we directly observe both 0 and 1,It describes a quantum state before measurement,It exists only after measurement,It is the same thing as classical randomness,B,"Superposition describes the quantum state before measurement, not two classical values being directly observed.",Medium
Measurement,What is the purpose of measuring a qubit?,To obtain a classical result,To create another qubit,To add a quantum gate,To increase its energy,A,Measurement converts quantum information into a classical observable result.,Easy
Measurement,What are the possible measurement results of a single qubit in the computational basis?,0 or 1,1 or 2,+ or − only,Any number,A,A single qubit measured in the computational basis produces 0 or 1.,Easy
Measurement,A qubit has a 70% probability of measuring 0. What is the probability of measuring 1?,10%,20%,30%,70%,C,"The probabilities must add to 100%, so 100% − 70% = 30%.",Easy
Measurement,What generally happens to a superposition when the qubit is measured?,It remains unchanged,A definite outcome is obtained,It becomes a second superposition,It turns into two qubits,B,Measurement produces a definite outcome rather than leaving the qubit in the original superposition.,Medium
Measurement,"If a qubit is already in the state |0⟩ and is measured in the computational basis, what result will be obtained?",Always 0,Always 1,50% 0 and 50% 1,It cannot be measured,A,A qubit already in |0⟩ gives 0 with certainty when measured in the computational basis.,Easy
Quantum Gates,What is the purpose of a quantum gate?,To manipulate quantum states,To measure temperature,To store classical files,To connect computers to the internet,A,Quantum gates perform operations that change the state of one or more qubits.,Easy
Quantum Gates,What does the X gate do to |0⟩?,Leaves it unchanged,Changes it to |1⟩,Measures it,Creates two qubits,B,The X gate acts like a quantum NOT operation: X|0⟩ = |1⟩.,Easy
Quantum Gates,Which gate is commonly used to create an equal superposition from |0⟩?,X,Z,Hadamard (H),CNOT,C,The Hadamard gate creates an equal superposition when applied to |0⟩.,Easy
Quantum Gates,What does the Z gate do to |0⟩?,Changes it to |1⟩,Leaves |0⟩ unchanged,Measures it,Creates a superposition,B,"Z|0⟩ = |0⟩, while the Z gate changes the phase of |1⟩.",Medium
Quantum Gates,Which gate is commonly used to create interactions between two qubits?,H,X,Z,CNOT,D,"CNOT is a two-qubit gate that can create correlations and, with suitable inputs, entanglement.",Medium
